frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,507.0,[1098.192915808695 585.1894859852185 1394.3859010734486 876.2758505633159],[1205.4664306640625 781.219482421875 1292.6788330078125 826.5692138671875],0.44682949781417847,KD51YSU,0.1652829621794784
2,506.0,[371.3434699815367 693.0165799521341 715.3922464627211 1006.7610006721501],[477.29144287109375 892.892578125 592.0977172851562 939.8479614257812],0.5059911012649536,NA13MPU,0.28027737963695354
3,506.0,[367.85648694801773 695.8119995316863 712.2651527330978 1011.294041602293],[472.7347717285156 892.874267578125 595.3324584960938 943.968017578125],0.4128643274307251,NA13MRU,0.5074403551109437
4,507.0,[1093.8776797517326 587.3679194542385 1398.482854338616 884.8048778169289],[1204.41552734375 791.1725463867188 1293.0345458984375 830.9972534179688],0.5615907311439514,MW51TSU,0.03834699199282542
4,506.0,[367.47061023615277 698.5432207540902 716.0455045403913 1016.0544753690102],[472.5860595703125 895.4879760742188 595.4284057617188 947.430419921875],0.4603406488895416,NA13HPU,0.13888156714075514
7,506.0,[359.31521864267927 706.7936808148222 713.1451516672902 1030.8093495168366],[474.9759521484375 912.3912963867188 587.0638427734375 959.6898193359375],0.5506570339202881,NA13MRU,0.18539660198657784
9,506.0,[350.761940538368 711.4370930187122 706.188565587486 1036.7672880716773],[460.24127197265625 916.7164916992188 590.6255493164062 970.5390625],0.5639490485191345,NA13NRU,0.16627756792529225
10,507.0,[1096.5703304157985 599.2556964708124 1410.4964725763605 901.7458513264132],[1209.199951171875 804.7428588867188 1297.349853515625 850.4855346679688],0.551775336265564,MO51VSV,0.21151797409743223
10,506.0,[349.1350342961919 714.9144277740565 704.9410810219636 1040.7969057588996],[458.0195617675781 920.2838745117188 584.3698120117188 971.7161865234375],0.48428988456726074,NA13NRU,0.4165964459483156
12,506.0,[346.18624750758937 721.138091621996 703.9786367764157 1048.723677422484],[463.8826904296875 930.4391479492188 584.9844360351562 983.150634765625],0.5603020191192627,HA13NAU,0.2632085426353111
14,507.0,[1099.1324951819872 611.2658151959056 1409.8921391988385 914.0341478333662],[1213.1011962890625 818.8276977539062 1298.967041015625 860.9014892578125],0.6442155838012695,NI51VSU,0.08776741091757
14,506.0,[341.36974911559025 728.6557499152799 700.6357924397129 1056.1627871861338],[464.466064453125 940.417236328125 579.5806884765625 991.0484619140625],0.5888235569000244,NA13NRU,0.3959268862451985
17,507.0,[1099.7616252586377 622.7260730007481 1413.055653405264 928.1594909326416],[1217.230712890625 829.1991577148438 1307.9173583984375 874.1486206054688],0.6235050559043884,KU51VSD,0.0966426837611399
17,506.0,[334.6488343738564 740.6507273499077 696.5331032125044 1067.6082464473677],[451.9098815917969 950.39501953125 578.75341796875 1003.7969970703125],0.5765131711959839,NA13NRU,0.23160641083533062
18,507.0,[1099.935417767837 625.5906919914935 1416.3461410077311 931.3373692159123],[1216.0819091796875 829.58642578125 1308.245849609375 873.6531372070312],0.6212990283966064,CD51VSU,0.11233660613246962
19,507.0,[1101.1367338089592 625.4270478490332 1420.0700184561572 933.1388803287623],[1216.4119873046875 835.9068603515625 1306.6866455078125 876.4163818359375],0.622791051864624,CO51YSU,0.13511001268088668
19,506.0,[332.8431295772862 748.0103448149458 695.9374809246644 1074.0025990343306],[451.0344543457031 961.7298583984375 567.4464721679688 1009.7875366210938],0.6144529581069946,NA13NRU,0.33498295052127763
20,507.0,[1101.3284922531946 626.5159433466583 1422.1712615983681 936.2028779127584],[1217.841064453125 840.11865234375 1310.5333251953125 881.2476196289062],0.6454426050186157,CO51YSU,0.1459787039019634
20,506.0,[329.84212594242285 753.0545568968965 693.8200762284599 1076.6620984650235],[442.9770812988281 964.0162353515625 575.4476318359375 1019.835205078125],0.6134864091873169,NA13NRU,0.45115001219264084
21,506.0,[327.79167852556014 755.3902897555939 692.6350487938594 1077.5723600989281],[436.31964111328125 961.6614990234375 567.7509155273438 1018.742431640625],0.6429227590560913,NA13NRU,0.6891699895316825
22,507.0,[1103.467684505325 630.7474478031833 1427.4291234841003 942.4642993184399],[1219.04296875 844.8319702148438 1309.7427978515625 886.6036376953125],0.6855881214141846,ND51VSW,0.040575413803370465
23,506.0,[325.09679293538943 760.1468166206416 691.0927593723794 1077.6752293183351],[436.21563720703125 975.563232421875 566.2461547851562 1033.4619140625],0.630473256111145,MA13NRU,0.6252462069223385
24,506.0,[324.10177350898675 762.9837616334928 690.3320398968676 1078.0346635332182],[431.4570007324219 981.1031494140625 567.0366821289062 1037.15283203125],0.6187689900398254,NA13NRU,0.7686109512943203
26,506.0,[321.16808455704114 770.3789540412031 690.6771852470351 1078.4259579783084],[427.388671875 988.9464721679688 565.0147705078125 1045.9332275390625],0.6597664952278137,NA13NRU,0.23413160070208883
27,506.0,[320.1391236314677 773.4993616151006 689.9391514200145 1078.329597630487],[436.7417297363281 990.9697265625 558.836181640625 1046.0496826171875],0.6656240820884705,NA13MRU,0.3911905927865974
30,506.0,[318.1328373942999 784.5529533408502 686.5362748289285 1078.5671073358244],[438.2390441894531 1011.2467041015625 559.76611328125 1062.8011474609375],0.7047337889671326,NA13NRU,0.2521832930758155
32,507.0,[1106.9297413314482 654.5260487826343 1437.149872572373 982.7434974268839],[1223.3065185546875 878.7559204101562 1318.406005859375 922.5664672851562],0.6200553178787231,WO51MSU,0.061863600526739615
33,507.0,[1107.5890547088052 657.4981392536934 1438.352570839345 985.2653871517666],[1225.6871337890625 882.540771484375 1318.241455078125 924.4259643554688],0.604864776134491,NI51KSU,0.05153232367717243
34,-1,[-1 -1 -1 -1],[428.7085876464844 1032.643310546875 554.85791015625 1080.0],0.6311648488044739,NA13MRU,0.5221198888300957
37,509.0,[571.9317105059708 564.0124622485328 859.445652207535 789.7559469848209],[668.9275512695312 700.1422119140625 754.3636474609375 736.8702392578125],0.30180853605270386,CI15OCJ,0.1399718217411986
41,507.0,[1110.0071265609188 682.7765794596154 1448.539870476876 1020.1117163697501],[1232.872314453125 913.27685546875 1330.14306640625 957.5504760742188],0.680219292640686,NT51VSU,0.23784746985784494
42,509.0,[566.4967254332323 572.1614778369878 856.3485315846219 800.7461730569562],[675.2843627929688 710.7401733398438 756.7256469726562 753.3982543945312],0.3041099011898041,GX15OGJ,0.08917632096161354
47,507.0,[1112.468733618499 696.09394135917 1461.4251588334926 1041.6343783576308],[1237.9910888671875 937.01171875 1336.73779296875 981.87109375],0.7110128402709961,WY51YSU,0.12443888993603901
53,509.0,[552.497941071609 592.4854546975 853.7684573225778 834.2292397526451],[653.009765625 737.9644775390625 745.752685546875 782.5447998046875],0.2803575098514557,GI15OGJ,0.11874039278182738
55,507.0,[1119.5330748659455 721.2775224983911 1479.1345651627864 1070.4693782524268],[1246.37890625 968.2855224609375 1348.102783203125 1013.06982421875],0.6669213771820068,NI51VSV,0.1606908334644191
59,507.0,[1124.4074149048752 731.5925372056057 1480.4411481308107 1075.1536545540985],[1253.042724609375 984.9926147460938 1355.2935791015625 1031.30712890625],0.714730441570282,LI51VSU,0.06030994053062123
60,507.0,[1125.9612213153198 733.9091364858814 1481.801123864407 1074.9800761230715],[1250.5751953125 985.4976196289062 1355.6956787109375 1032.5223388671875],0.7204973697662354,MQ51VSU,0.04017291297093114
62,507.0,[1125.4174336089352 741.8825897901688 1481.666801457449 1076.122297280012],[1255.4132080078125 994.579345703125 1361.8817138671875 1045.2391357421875],0.6968743205070496,MT51VSV,0.1310898428544374
63,509.0,[539.023298082969 615.3464132927664 849.0057530466665 858.9026063560367],[653.5557861328125 763.4578857421875 737.7947387695312 803.2673950195312],0.28396156430244446,CX15OGJ,0.15657599307839143
72,-1,[-1 -1 -1 -1],[1265.6107177734375 1039.784912109375 1372.2568359375 1080.0],0.6683676242828369,NW51MSU,0.05669222681823313
