frame_no,car_id,car_coordinates,license_plate_coordinates,license_plate_coordinate_score,license_number,license_number_score
0,4.0,[2201.220703125 1167.220458984375 2783.329345703125 1740.0740966796875],[2411.260986328125 1549.034912109375 2584.846435546875 1642.219482421875],0.587684690952301,NO51VSU,0.030402287138641612
0,3.0,[751.87060546875 1373.161376953125 1424.59326171875 1992.6005859375],[975.324462890625 1765.396484375 1203.47021484375 1862.9620361328125],0.5357751250267029,None,None
1,3.0,[750.9087235379217 1378.8911626872532 1432.3293693151081 2001.344452084786],[963.9210205078125 1782.314697265625 1187.0604248046875 1872.4549560546875],0.48217231035232544,NA13NPU,0.1969241732353381
1,4.0,[2196.214003853483 1171.028665952081 2787.466747043293 1751.4390566796867],[2410.0546875 1563.0362548828125 2585.463134765625 1653.6053466796875],0.4437575042247772,NU51VSU,0.3968526148452795
2,3.0,[742.0804764617365 1386.1030393932085 1429.6765335403943 2012.5711477805105],[956.3206787109375 1785.892578125 1184.3294677734375 1879.5938720703125],0.49980291724205017,MA13NRU,0.18350056815932692
2,4.0,[2195.1535163147246 1174.5403243872333 2789.2786523689056 1759.281646748861],[2411.900390625 1565.64990234375 2584.382080078125 1651.2462158203125],0.4981907606124878,None,None
3,4.0,[2189.683086630163 1174.6059073552346 2791.6779700756383 1764.537505989444],[2416.61083984375 1575.34326171875 2587.661376953125 1654.04638671875],0.5713350772857666,HL51NSU,0.16902151822135472
3,3.0,[735.4347447641705 1391.8984095534236 1422.5536250056923 2021.3031552116302],[947.8341674804688 1785.777099609375 1190.2509765625 1887.9151611328125],0.4110482335090637,None,None
4,4.0,[2187.4931556785427 1175.3989394044622 2795.6361183575095 1769.3004234313814],[2408.718505859375 1582.39892578125 2585.8759765625 1661.4521484375],0.551455557346344,None,None
4,3.0,[734.0168011739552 1397.3115542794542 1430.6156515142088 2031.317575789638],[944.9208984375 1790.5264892578125 1191.167724609375 1895.4466552734375],0.486272931098938,None,None
5,4.0,[2192.223756764836 1172.543428736982 2810.75132871687 1774.0717126121142],[2416.05615234375 1588.1224365234375 2590.812744140625 1674.3482666015625],0.6306003332138062,None,None
5,3.0,[727.4894395128107 1403.6361249179854 1423.9114296167309 2040.747813556386],[942.6277465820312 1802.425537109375 1184.5889892578125 1902.52490234375],0.4928337037563324,NA13NRU,0.17303829027030093
6,4.0,[2195.1203401469215 1178.664028208721 2818.845040217589 1780.0841662095272],[2413.68359375 1588.5220947265625 2587.294677734375 1672.470458984375],0.6153361797332764,None,None
6,3.0,[724.0284610271706 1407.2170337702835 1425.237166157067 2053.102803923868],[938.2730712890625 1805.97802734375 1185.6669921875 1911.028564453125],0.563228189945221,None,None
7,4.0,[2194.43903363332 1186.630480705193 2822.876951887307 1787.8047949121828],[2420.7509765625 1596.2391357421875 2590.49755859375 1682.4385986328125],0.6081221103668213,None,None
7,3.0,[718.9938354483836 1413.4248489003303 1421.5745720015404 2058.353042589884],[954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625],0.5394650101661682,NA13NRU,0.4293345425072572
8,4.0,[2196.1083281194274 1192.2899218107157 2828.4254488280853 1795.0736504996664],[2420.9755859375 1596.5340576171875 2593.8125 1690.5184326171875],0.6364391446113586,ML51VSU,0.4761424240555393
8,3.0,[710.2682781256002 1418.955722243509 1416.48409653528 2066.668187226097],[935.3765258789062 1832.4049072265625 1177.8861083984375 1928.1416015625],0.5784581303596497,NA13NRU,0.431340512127218
9,4.0,[2196.072095694148 1194.9268962460328 2826.7943794409844 1799.5996354360295],[2425.525146484375 1601.3408203125 2597.036376953125 1695.908935546875],0.6335133910179138,None,None
9,3.0,[701.6158120012557 1423.451288345336 1410.5530863720178 2073.1717639229946],[923.5907592773438 1831.78857421875 1181.8697509765625 1942.951171875],0.564967930316925,NA13NRU,0.2854002593303259
